Madrid,01/01/2022,100
Cuenca,27/02/2022,54
Albacete,22/10/2022,54
Leon,09/08/2022,52
Leon,22/09/2022,54
Madrid,05/01/2022,54
Toledo,11/12/2021,54
Soria,23/04/2022,51
Soria,10/05/2022,51
Salamanca,27/01/2022,55
Albacete,08/04/2022,54
Murcia,02/10/2021,54
Badajoz,17/09/2022,54
Murcia,13/05/2022,52
Madrid,03/09/2022,52
Burgos,12/06/2022,51
Valencia,13/02/2022,52
Cuenca,26/10/2021,54
Soria,15/05/2022,55
Toledo,24/04/2022,55
Cuenca,07/08/2022,55
Palencia,16/06/2022,54
Badajoz,15/07/2022,55
Albacete,03/08/2022,54
Palencia,10/04/2022,51
Salamanca,09/10/2021,53
Albacete,30/06/2022,51
Cuenca,19/01/2022,52
Toledo,28/05/2022,54
Valencia,16/10/2021,55
Palencia,18/12/2021,52
Albacete,12/03/2022,52
Toledo,16/12/2021,54
Leon,02/01/2022,55
Leon,04/03/2022,54
Albacete,03/07/2022,52
Toledo,12/12/2021,54
Soria,05/09/2022,54
Leon,20/06/2022,54
Cuenca,21/10/2022,55
Toledo,23/07/2022,53
Albacete,18/02/2022,52
Palencia,29/04/2022,54
Leon,12/09/2022,52
Palencia,11/02/2022,55
Burgos,01/05/2022,55
Soria,14/12/2021,53
Valencia,16/10/2022,55
Madrid,01/06/2022,54
Palencia,20/03/2022,55
Cuenca,18/12/2021,54
Albacete,14/11/2021,53
Palencia,25/03/2022,52
Madrid,13/09/2022,52
Salamanca,10/07/2022,51
Albacete,25/07/2022,55
Albacete,16/06/2022,52
Palencia,29/03/2022,53
Leon,09/01/2022,54
Salamanca,03/04/2022,52
Burgos,09/04/2022,55
Salamanca,03/06/2022,54
Murcia,17/02/2022,51
Salamanca,14/06/2022,51
Murcia,04/01/2022,53
Toledo,15/11/2021,54
Albacete,16/12/2021,54
Burgos,19/09/2022,55
Soria,04/10/2022,51
Salamanca,02/05/2022,55
Palencia,15/10/2022,54
Toledo,25/03/2022,52
Salamanca,30/08/2022,54
Leon,12/09/2022,51
Toledo,19/07/2022,51
Toledo,19/10/2022,55
Toledo,02/11/2021,55
Soria,31/08/2022,54
Madrid,01/03/2022,54
Palencia,07/10/2022,55
Burgos,22/12/2021,53
Albacete,07/07/2022,52
Burgos,27/02/2022,54
Soria,19/06/2022,54
Murcia,09/03/2022,53
Cuenca,19/12/2021,54
Cuenca,10/05/2022,54
Burgos,13/01/2022,54
Salamanca,26/06/2022,53
Burgos,11/06/2022,55
Palencia,27/07/2022,52
Salamanca,09/11/2021,55
Burgos,10/12/2021,55
Palencia,03/01/2022,55
Badajoz,04/04/2022,53
Toledo,09/05/2022,51
Palencia,15/08/2022,51
Palencia,19/05/2022,51
Madrid,04/03/2022,52
Toledo,08/10/2022,51
Madrid,13/06/2022,52
Leon,07/10/2021,51
Valencia,26/10/2021,53
Leon,29/10/2022,55
Albacete,24/08/2022,52
Badajoz,14/02/2022,53
Madrid,30/06/2022,53
Soria,22/07/2022,52
Soria,30/05/2022,54
Badajoz,21/01/2022,55
Murcia,28/10/2022,51
Murcia,07/10/2022,52
Salamanca,19/03/2022,54
Valencia,12/05/2022,52
Leon,03/05/2022,55
Badajoz,19/04/2022,53
Burgos,06/02/2022,55
Burgos,01/06/2022,51
Albacete,28/03/2022,54
Madrid,22/03/2022,51
Salamanca,07/08/2022,53
Burgos,08/02/2022,55
Cuenca,18/01/2022,53
Albacete,24/10/2021,53
Toledo,03/03/2022,53
Soria,22/07/2022,55
Madrid,14/08/2022,54
Madrid,25/01/2022,52
Valencia,23/03/2022,52
Badajoz,06/10/2021,54
Badajoz,01/07/2022,55
Toledo,03/03/2022,54
Salamanca,03/11/2021,52
Salamanca,06/08/2022,54
Murcia,24/09/2022,52
Salamanca,19/01/2022,53
Valencia,26/03/2022,51
Valencia,11/10/2022,54
Palencia,13/10/2022,52
Murcia,29/05/2022,55
Murcia,11/03/2022,54
Salamanca,10/06/2022,51
Salamanca,27/04/2022,52
Badajoz,25/04/2022,54
Cuenca,22/01/2022,51
Albacete,17/04/2022,54
Murcia,11/04/2022,52
Leon,04/11/2021,54
Cuenca,03/06/2022,53
Palencia,03/11/2021,54
Burgos,04/11/2021,52
Badajoz,27/05/2022,55
Cuenca,28/09/2022,55
Murcia,17/01/2022,54
Cuenca,20/01/2022,54
Toledo,13/03/2022,55
Palencia,13/01/2022,52
Cuenca,30/03/2022,53
Badajoz,09/01/2022,52
Murcia,01/01/2022,54
Salamanca,27/11/2021,54
Burgos,29/12/2021,53
Leon,12/11/2021,53
Madrid,09/10/2021,55
